oid,concept_code,concept_id,domain_id
2.16.840.1.113883.5.1,M,8507.0,Gender
2.16.840.1.113883.6.238,2106-3,8527.0,
2.16.840.1.113883.6.238,2186-5,38003564.0,
2.16.840.1.113883.6.101,207R00000X,38003860.0,Provider
2.16.840.1.113883.6.101,163W00000X,38003716.0,Provider
